what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1280036845454
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1280036845454
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1280036845455
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1280036845459
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1280036845460
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1280036845460
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1280036845460
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1280036845461
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1280036845467
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1280036845468
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1280036845469
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1280036845470
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1280036845470
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1280036845471
os,sysinfo,,,"macosx",1280036845475
arch,sysinfo,,,"x86",1280036845475
ws,sysinfo,,,"cocoa",1280036845475
locale,sysinfo,,,"en_US",1280036845475
processors,sysinfo,,,"2",1280036845475
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1280036845475
java.runtime.version,sysinfo,,,"1.5.0_24-b02-357-9M3165",1280036845475
java.specification.name,sysinfo,,,"Java Platform API Specification",1280036845475
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280036845475
java.specification.version,sysinfo,,,"1.5",1280036845475
java.vendor,sysinfo,,,"Apple Inc.",1280036845475
java.version,sysinfo,,,"1.5.0_24",1280036845475
java.vm.info,sysinfo,,,"mixed mode",1280036845476
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1280036845476
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280036845476
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280036845476
java.vm.specification.version,sysinfo,,,"1.0",1280036845476
java.vm.vendor,sysinfo,,,"Apple Inc.",1280036845476
java.vm.version,sysinfo,,,"1.5.0_24-149",1280036845476
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280036852205
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280036852236
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1280036852254
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1280036860885
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1280036862647
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1280036872833
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1280036883282
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1280036883410
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1280036883563
